ordtype;uid;is_buy;qty;price;timestamp
cancel;227;;63;;2019-05-23 09:11:30.066
new;259;True;63;95.7;2019-05-23 09:11:30.066
new;260;True;22;95.65;2019-05-23 09:11:30.097
new;261;True;22;95.6;2019-05-23 09:11:30.098
new;262;True;24;95.55;2019-05-23 09:11:30.098
new;263;True;836;95.35;2019-05-23 09:11:30.108
cancel;225;;15;;2019-05-23 09:11:30.270
cancel;79;;34;;2019-05-23 09:11:30.745
cancel;172;;6;;2019-05-23 09:11:30.745
cancel;263;;836;;2019-05-23 09:11:30.745
new;264;True;34;95.8;2019-05-23 09:11:30.745
new;265;False;611;96.25;2019-05-23 09:11:31.140
new;266;True;41;95.7;2019-05-23 09:11:31.140
cancel;142;;7;;2019-05-23 09:11:32.322
cancel;257;;10;;2019-05-23 09:11:59.271
new;267;True;876;95.35;2019-05-23 09:11:59.271
cancel;264;;34;;2019-05-23 09:11:59.289
new;268;True;1171;95.3;2019-05-23 09:11:59.289
cancel;238;;34;;2019-05-23 09:11:59.290
new;269;False;34;95.9;2019-05-23 09:11:59.290
cancel;258;;250;;2019-05-23 09:11:59.290
new;270;True;11;95.75;2019-05-23 09:11:59.290
cancel;266;;41;;2019-05-23 09:11:59.292
cancel;251;;17;;2019-05-23 09:11:59.293
new;271;False;19;95.95;2019-05-23 09:11:59.293
cancel;259;;63;;2019-05-23 09:11:59.298
new;272;True;63;95.65;2019-05-23 09:11:59.298
cancel;240;;33;;2019-05-23 09:11:59.299
new;273;False;62;95.85;2019-05-23 09:11:59.299
new;274;False;11;95.85;2019-05-23 09:11:59.301
cancel;272;;63;;2019-05-23 09:11:59.321
cancel;248;;43;;2019-05-23 09:11:59.344
cancel;270;;11;;2019-05-23 09:11:59.349
new;275;True;34;95.25;2019-05-23 09:11:59.349
cancel;239;;11;;2019-05-23 09:11:59.350
cancel;237;;17;;2019-05-23 09:11:59.364
new;276;False;34;95.85;2019-05-23 09:11:59.366
new;277;True;561;95.35;2019-05-23 09:11:59.379
modif;267;;836;;2019-05-23 09:11:59.401
modif;268;;7;;2019-05-23 09:12:00.403
modif;268;;9;;2019-05-23 09:12:00.403
new;278;True;45;95.6;2019-05-23 09:12:00.581
new;279;False;44;95.95;2019-05-23 09:12:00.581
cancel;276;;34;;2019-05-23 09:12:00.887
new;280;True;19;95.7;2019-05-23 09:12:00.887
new;281;True;63;95.55;2019-05-23 09:12:02.038
cancel;273;;62;;2019-05-23 09:12:02.044
cancel;275;;34;;2019-05-23 09:12:07.032
new;282;True;17;95.8;2019-05-23 09:12:07.032
modif;268;;1155;;2019-05-23 09:12:07.032
new;283;True;34;95.75;2019-05-23 09:12:07.032
new;284;True;19;95.75;2019-05-23 09:12:07.032
new;285;True;250;95.5;2019-05-23 09:12:07.057
cancel;278;;45;;2019-05-23 09:12:07.059
cancel;269;;34;;2019-05-23 09:12:07.089
new;286;False;17;95.8;2019-05-23 09:12:07.105
new;287;True;1155;95.3;2019-05-23 09:12:07.105
cancel;226;;250;;2019-05-23 09:12:07.105
new;288;False;34;95.9;2019-05-23 09:12:07.105
cancel;281;;63;;2019-05-23 09:12:07.105
new;289;True;63;95.65;2019-05-23 09:12:07.105
cancel;283;;34;;2019-05-23 09:12:07.279
cancel;284;;19;;2019-05-23 09:12:07.488
new;290;True;34;95.25;2019-05-23 09:12:07.488
cancel;285;;250;;2019-05-23 09:12:07.489
new;291;True;250;95.4;2019-05-23 09:12:07.489
new;292;False;57;95.85;2019-05-23 09:12:07.498
new;293;False;19;95.9;2019-05-23 09:12:07.498
cancel;289;;63;;2019-05-23 09:12:07.509
new;294;False;34;95.85;2019-05-23 09:12:07.570
cancel;235;;34;;2019-05-23 09:12:07.577
cancel;280;;19;;2019-05-23 09:12:07.580
new;295;True;1120;95.2;2019-05-23 09:12:07.580
cancel;245;;216;;2019-05-23 09:12:07.706
cancel;292;;57;;2019-05-23 09:12:07.820
cancel;233;;284;;2019-05-23 09:12:07.820
new;296;False;57;95.8;2019-05-23 09:12:07.820
new;297;False;11;95.8;2019-05-23 09:12:07.822
